epoch,train_loss,energy_real,energy_fake
1,-0.0456,-0.0563,0.0205
2,-0.0015,-0.0,0.0047
3,0.0026,0.0069,0.0063
4,0.002,0.0034,0.0031
5,0.0009,0.003,0.0034
6,0.0011,0.0018,0.0024
7,0.0011,0.0024,0.0029
8,0.0009,0.0034,0.0044
9,0.0006,0.0027,0.0039
10,0.0004,0.0036,0.0052
11,0.0002,0.0025,0.0043
12,0.0,0.0015,0.004
13,0.0,0.0021,0.0046
14,-0.0001,0.0004,0.0027
15,0.0001,0.0002,0.0023
16,0.0007,-0.0001,0.0011
17,0.0008,-0.0004,0.0006
18,0.0004,-0.0013,-0.0
19,0.0006,0.0002,0.0014
20,0.0002,-0.0013,0.0002
21,0.0007,0.0,0.0008
22,0.0012,0.0013,0.0016
23,0.0008,-0.0004,0.0005
24,0.0008,0.0009,0.0016
25,0.001,0.0003,0.001
26,0.0014,0.0003,0.0007
27,0.0009,-0.0,0.0005
28,0.0002,-0.0003,0.0012
29,0.0009,0.0012,0.0021
30,0.001,0.0016,0.0026
